"","date","open","high","low","adj.close","volume","macd","boll_ub","boll_lb","rsi_30","cci_30","dx_30","close_30_sma","close_60_sma","arima_res","residuals"
"1781","2017-02-07",245400,245650,243957,244260,200,641.252599673258,249126.259932736,237558.140067264,55.0066078768949,16.2425591558002,4.37762660018862,244063.4,242777.25,244878.08754615,-618.087546149589
"1782","2017-02-08",244600,244600,243370,244151,300,556.651266965957,249208.780526101,237683.019473899,54.8526236357398,1.99666550138567,0.324964127592572,243935.1,242950.6,244325.325079345,-174.325079344853
"1783","2017-02-09",244877,246700,244350,246000,500,631.523142856633,249460.040644397,237715.759355603,56.9666028596715,60.9840957510166,13.2116008186238,243891.766666667,243136.266666667,244188.556255861,1811.44374413931
"1784","2017-02-10",246900,246950,245490,246000,300,682.986599547556,249702.567726909,237788.232273091,56.9666028596715,77.2513599294698,14.6163930319694,243914.1,243292.1,245857.63734722,142.36265278011
"1785","2017-02-13",246800,249270,246800,248340,400,902.190315193729,250302.110230641,237772.689769359,59.5328377647388,137.582947561561,26.4295388285369,244042.1,243497.766666667,245953.761353972,2386.23864602775
"1786","2017-02-14",248750,250440,247810,250419,400,1229.49590078328,251041.431070466,238158.668929534,61.6355582609561,168.258601972416,31.5359439191939,244252.033333333,243746.916666667,248120.464657757,2298.53534224283
"1787","2017-02-15",250419,250990,249240,250990,800,1517.47040914223,251879.956883956,238349.143116044,62.1937042404652,177.791355167033,33.843359150831,244423.366666667,243970.916666667,250164.954303724,825.045696276153
"1788","2017-02-16",251000,251610,249160,251500,500,1766.48211330789,252454.876481723,239012.223518277,62.6951700265356,172.706840309968,36.4252649050921,244586.7,244222.733333333,250833.415349266,666.58465073377
"1789","2017-02-17",250800,252860,250060,252838,300,2048.18094576467,253281.047264689,239441.852735311,63.991430397093,181.639948348083,41.3576850776524,244852.9,244478.366666667,251380.896260166,1457.10373983433
"1790","2017-02-21",253100,254380,252760,253690,600,2313.50987779474,253641.761430341,240640.138569659,64.7972004453179,197.344407498768,46.7299327003459,245129.433333333,244743.183333333,252725.030205679,964.969794321049
"1791","2017-02-22",253600,254500,252580,254151,400,2531.79881453858,254334.011453872,241268.988546128,65.2326733472553,177.890691015814,45.0478443292727,245497.433333333,245027.866666667,253604.514961223,546.485038776795
"1792","2017-02-23",254520,255200,253730,254900,400,2733.71978988443,255444.82204484,241014.17795516,65.9408185031734,175.297284073599,47.5475292543608,245924.866666667,245324.783333333,254102.725390926,797.27460907388
"1793","2017-02-24",254560,255200,253810,255040,500,2871.93457353278,256421.016113646,240777.983886354,66.0744311612359,159.110408164788,47.5475292543609,246320.866666667,245652.116666667,254834.169517083,205.830482916819
"1794","2017-02-27",256231,256760,255501,255795,400,3007.72183053897,257448.965706455,240629.534293545,66.8010062282194,162.582910471676,52.9927931729567,246752.366666667,245975.516666667,255019.115644649,775.884355350514
"1795","2017-02-28",256330,258270,255870,257100,1000,3183.93438995362,258617.025670251,240521.474329749,68.0254656509465,159.446166690764,57.5523504487107,247239.033333333,246310.516666667,255709.087817244,1390.9121827558
"1796","2017-03-01",261815,266020,261370,266013,1000,3996.71705741578,262053.553331747,239088.246668253,74.6352430482305,235.828109602086,72.2956490301266,248133.933333333,246747.05,256988.668167771,9024.33183222875
"1797","2017-03-02",266390,266445,263261,263600,400,4395.47593297821,264071.084430617,238887.715569383,70.5507255422315,204.571967606252,72.8484721657855,248897.266666667,247155.883333333,265291.273179896,-1691.27317989618
"1798","2017-03-03",263780,264690,262700,263160,300,4622.70324650459,265565.512711166,239276.287288834,69.8298561776949,172.196452285706,68.1149735618629,249698.6,247541.883333333,263700.702704971,-540.702704971132
"1799","2017-03-06",263151,263760,261500,262800,200,4719.33201640134,266795.236663571,239761.963336429,69.23112816935,146.698111725607,58.2082957007982,250449.266666667,247891.283333333,263219.105300349,-419.105300349125
"1800","2017-03-07",263100,263560,262500,262860,200,4746.04308094829,267728.698344093,240632.001655907,69.27654642663,136.760006540872,58.2082957007982,251274.6,248165.95,262834.416061654,25.5839383458369
"1801","2017-03-08",263900,263900,262280,262350,300,4672.20083145148,268254.725598271,241914.974401729,68.3888865111647,123.779712286559,58.9906961734072,251988.266666667,248436.45,262859.700718823,-509.700718823005
