Date,Open,High,Low,Close,Adj Close,Volume
2016-01-27,5.71,5.84,5.61,5.65,5.65,45500
2016-01-28,5.68,5.74,5.25,5.3,5.3,497300
2016-01-29,5.29,5.63,5.17,5.49,5.49,197300
2016-02-01,5.49,5.58,5.29,5.36,5.36,60500
2016-02-02,5.34,5.62,5.24,5.39,5.39,168200
2016-02-03,5.41,5.48,4.85,5.23,5.23,338700
2016-02-04,5.23,5.6,5.2,5.5,5.5,56700
2016-02-05,5.51,5.51,5.08,5.18,5.18,87900
2016-02-08,5.1,5.228,4.98,5.05,5.05,78700
2016-02-09,4.97,5.0,4.25,4.41,4.41,111100
2016-02-10,4.47,4.62,4.31,4.32,4.32,63900
2016-02-11,4.29,4.64,4.22,4.54,4.54,140800
2016-02-12,4.78,4.98,4.57,4.59,4.59,158200
2016-02-19,4.6,4.769,4.51,4.52,4.52,277300
2016-02-22,4.58,4.66,4.47,4.57,4.57,184600
2016-02-23,4.58,4.58,4.41,4.51,4.51,173800
2016-02-24,4.4,4.55,4.26,4.31,4.31,338700
2016-02-25,4.31,4.55,4.21,4.36,4.36,119000
2016-02-26,4.35,4.6,4.31,4.51,4.51,70700
2016-02-29,4.53,4.95,4.53,4.89,4.89,436000
2016-03-02,4.9,4.97,4.73,4.79,4.79,57300
2016-03-03,4.82,5.03,4.7,5.0,5.0,92100
2016-03-07,4.96,5.23,4.9,5.07,5.07,66000
2016-03-08,5.03,5.23,4.925,5.0,5.0,98100
2016-03-09,5.05,5.29,4.97,5.24,5.24,69400
2016-03-10,5.25,5.35,5.1,5.17,5.17,72700
2016-03-14,5.09,5.395,5.09,5.32,5.32,166900
2016-03-15,5.26,5.68,5.13,5.67,5.67,105700
2016-03-17,5.69,5.87,5.47,5.82,5.82,86300
2016-03-18,5.78,6.0,5.78,6.0,6.0,156200
2016-03-21,6.02,6.21,5.86,6.05,6.05,80500
2016-03-22,6.06,6.31,5.84,6.3,6.3,159300
2016-03-23,6.24,6.768,5.99,6.76,6.76,391700
2016-03-24,6.75,6.95,6.4,6.5,6.5,174200
2016-03-28,6.54,6.81,6.35,6.56,6.56,84600
2016-03-29,6.51,6.56,6.34,6.49,6.49,84900
2016-03-31,6.5,6.57,6.2,6.4,6.4,162300
2016-04-01,6.34,6.39,6.02,6.1,6.1,112700
2016-04-04,6.05,6.27,6.0,6.02,6.02,150600
2016-04-05,6.0,6.23,6.0,6.2,6.2,52400
2016-04-06,6.16,6.4,6.13,6.4,6.4,59200
2016-04-07,6.33,6.35,6.07,6.15,6.15,70300
2016-04-08,6.13,6.4,6.05,6.27,6.27,68900
2016-04-12,6.55,6.56,6.33,6.5,6.5,50100
2016-04-15,6.52,6.82,6.36,6.46,6.46,64200
2016-04-19,6.5,6.7,6.5,6.66,6.66,38600
2016-04-20,6.65,6.65,6.43,6.5,6.5,52800
2016-04-22,6.52,6.725,6.33,6.39,6.39,94300
2016-04-26,6.4,6.6,6.27,6.29,6.29,88900
2016-04-29,6.22,6.36,6.07,6.23,6.23,179600
2016-05-02,6.28,6.38,6.03,6.06,6.06,85700
2016-05-03,6.0,6.02,5.87,5.91,5.91,89000
2016-05-05,5.98,6.01,5.75,5.84,5.84,82900
2016-05-06,5.8,5.9,5.654,5.87,5.87,81800
2016-05-09,5.81,5.88,5.47,5.53,5.53,86600
2016-05-12,5.68,5.68,5.33,5.34,5.34,600000
2016-05-13,5.3,5.34,5.05,5.08,5.08,78500
2016-05-16,5.07,5.165,4.9,5.03,5.03,115400
2016-05-17,5.06,5.06,4.73,4.79,4.79,161500
2016-05-18,4.77,4.94,4.55,4.63,4.63,161100
2016-05-19,4.5,4.69,4.365,4.5,4.5,398000
2016-05-20,4.48,5.01,4.48,4.85,4.85,130300
2016-05-23,4.87,5.13,4.77,5.13,5.13,189500
2016-05-24,5.15,5.16,4.9,5.0,5.0,118600
2016-05-26,5.02,5.165,4.855,4.94,4.94,174200
2016-05-31,4.93,5.25,4.91,5.02,5.02,101700
2016-06-02,5.02,5.09,5.0,5.06,5.06,43200
2016-06-06,5.07,5.3,5.02,5.27,5.27,100600
2016-06-07,5.29,5.49,5.23,5.37,5.37,122800
2016-06-08,5.4,5.47,5.35,5.43,5.43,57400
2016-06-09,5.45,5.5,5.28,5.46,5.46,237300
2016-06-10,5.37,5.51,5.3,5.41,5.41,131100
2016-06-13,5.35,5.625,5.13,5.2,5.2,401800
2016-06-14,5.16,5.31,5.13,5.17,5.17,132400
2016-06-16,5.18,5.25,5.02,5.1,5.1,108300
2016-06-17,5.1,5.13,4.97,5.05,5.05,170000
2016-06-20,4.975,5.19,4.88,5.02,5.02,76400
2016-06-21,5.05,5.05,4.91,4.97,4.97,99000
2016-06-23,4.96,5.12,4.83,4.99,4.99,181700
2016-06-24,4.89,5.03,4.67,4.73,4.73,2072700
2016-06-27,4.72,4.83,4.4,4.64,4.64,210700
2016-06-28,4.7,5.14,4.69,5.06,5.06,142300
2016-06-29,5.13,5.24,5.06,5.11,5.11,139200
2016-06-30,5.06,5.32,5.06,5.31,5.31,89800
2016-07-01,5.29,5.57,5.18,5.45,5.45,140200
2016-07-05,5.45,5.54,5.27,5.39,5.39,132200
2016-07-06,5.4,5.64,5.25,5.43,5.43,141900
2016-07-07,5.45,5.66,5.37,5.47,5.47,197700
2016-07-08,5.53,5.98,5.37,5.91,5.91,255700
2016-07-11,5.93,6.0,5.9,5.97,5.97,106600
2016-07-12,5.99,6.1,5.95,6.01,6.01,85400
2016-07-13,6.01,6.06,5.49,5.92,5.92,88600
2016-07-14,5.91,5.98,5.7,5.74,5.74,53400
2016-07-15,5.79,5.79,5.43,5.59,5.59,125000
2016-07-18,5.57,5.86,5.47,5.76,5.76,87700
2016-07-19,5.75,5.85,5.51,5.68,5.68,34500
2016-07-21,5.67,5.76,5.56,5.71,5.71,106200
2016-07-22,5.72,5.72,5.58,5.66,5.66,41500
2016-07-25,5.46,5.66,5.46,5.61,5.61,65700
2016-07-26,5.59,5.9,5.3,5.9,5.9,51400
2016-07-27,5.9,6.56,5.8,6.51,6.51,132900
2016-07-28,6.46,6.73,6.4,6.41,6.41,291100
2016-07-29,6.34,6.548,6.221,6.45,6.45,182500
2016-08-01,6.45,6.45,6.09,6.2,6.2,364400
2016-08-02,6.16,6.28,5.88,5.9,5.9,80700
2016-08-03,5.91,6.23,5.89,6.11,6.11,82300
2016-08-04,6.1,6.14,5.94,5.98,5.98,35100
2016-08-05,6.0,6.21,5.87,6.18,6.18,70400
2016-08-08,6.16,6.34,6.12,6.14,6.14,355300
2016-08-09,5.8,6.13,5.8,6.09,6.09,111800
2016-08-10,6.12,6.14,5.85,5.96,5.96,91300
2016-08-11,5.96,6.07,5.91,6.03,6.03,813200
2016-08-12,6.05,6.05,5.7,5.8,5.8,241400
2016-08-15,5.79,6.02,5.75,5.99,5.99,444500
2016-08-16,5.98,5.98,5.78,5.8,5.8,133800
2016-08-17,5.8,5.9,5.75,5.85,5.85,82500
2016-08-18,5.82,6.01,5.82,6.0,6.0,240600
2016-08-22,5.94,5.95,5.71,5.75,5.75,190700
